"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@supremetakico We'd like to take a look. Please reach out to us by phone or chat using the Skip Sign In option: https://t.co/hApLpMlfHN. ^LP",FALSE,0,"supremetakico",2016-07-05 15:54:03,FALSE,"750352612780863489","750357080851243008","2896475794","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@MrsZumbaDancer You can manage the payment options on your account here: https://t.co/POYWE5ernt. They can all be removed at any time. ^JW",FALSE,0,"MrsZumbaDancer",2016-07-05 15:53:30,FALSE,"750353404766068736","750356943190036480","20035218","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@heidicullinan KDP would be the best point of contact for resolving issues with a title submitted to them. Keep us posted on outcome. ^KC",FALSE,0,"heidicullinan",2016-07-05 15:53:00,FALSE,"750353503516712961","750356817025302528","16787108","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@LadyMockingjay I'm sorry to see this! If needed, you can see return/replacement options on the website here: https://t.co/hF7fdloC1O. ^KL",FALSE,0,"LadyMockingjay",2016-07-05 15:51:00,FALSE,"750353808224620544","750356313113292800","105336692","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@Marthmario I'm sorry your order arrived in that condition! Please get in touch via phone/chat https://t.co/hApLpMlfHN for options. ^DR",FALSE,0,"Marthmario",2016-07-05 15:49:00,FALSE,"750353350718357504","750355809360613376","2950504947","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@ronanfla83 Do you have an order that's missed the delivery date we gave? If so, what does the tracking show: https://t.co/aaDyEz1VgE? ^KL",FALSE,0,"ronanfla83",2016-07-05 15:48:00,FALSE,"750352046239481856","750355558897741824","467651398","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@LuLu__Cooper That is really quite odd. Give us a call/chat so we can help sort this order out for you: https://t.co/hApLpMlfHN. ^KC",FALSE,0,"LuLu__Cooper",2016-07-05 15:46:45,FALSE,"750351111832342528","750355240919166976","1114206260","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@robwoods007 I'm sorry for the poor experience. Were we waiting the 3 days for refund options? Has a refund been requested? ^LP",FALSE,0,"robwoods007",2016-07-05 15:46:44,FALSE,"750349729557540865","750355240629731328","152210237","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@ConStar24 I'm sorry for the delivery delay. Let us know when you receive it. ^MG",FALSE,1,"ConStar24",2016-07-05 15:46:44,FALSE,"750351206569091072","750355240227106816","109449668","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@Hollywoodkara You're welcome! ^RM",FALSE,0,"Hollywoodkara",2016-07-05 15:46:11,FALSE,"750352202737344513","750355098740686848","1504846711","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@SendingForSuz You can reach them here: https://t.co/3zSj8AlqJj. Sign in on the left, and select ""Contact Us"" at the top right. ^RM",FALSE,0,"SendingForSuz",2016-07-05 15:45:36,FALSE,"750352164783067136","750354952841756672","104273805","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@takenot_es That's odd, your purchases should stay attached. Give us a call/chat so we can dig into this w/ you: https://t.co/hApLpMlfHN ^KC",FALSE,0,"takenot_es",2016-07-05 15:45:29,FALSE,"750351272847503360","750354925243236353","4896645742","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@djnrrd Keep us posted, we're here to help. ^MG",FALSE,0,"djnrrd",2016-07-05 15:43:30,FALSE,"750350955015790593","750354424447598592","46646278","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@huzanforbes https://t.co/dgreAZQ5qf also I will forward your comments as feedback to concern team internally. (2/2) ^SP",FALSE,0,"huzanforbes",2016-07-05 15:43:00,FALSE,"750352439480422404","750354300510035968","153062887","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@huzanforbes Hi! I apologize for the inconvenience. You may request for return from here: (1/2) ^SP",FALSE,0,"huzanforbes",2016-07-05 15:43:00,FALSE,"750352439480422404","750354299956391936","153062887","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@emilyrhodesb Oh my, that is a bit much. Please report this, including the photo, to our Packaging Team here: https://t.co/XbCCSlM4hU. ^KC",FALSE,0,"emilyrhodesb",2016-07-05 15:41:28,FALSE,"750350717353914369","750353912025247744","735475601793028098","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@LynseyJPledger We may ask you to wait a few days to see if it shows up, before we have other options for you. Keep us updated on this. ^KC",FALSE,0,"LynseyJPledger",2016-07-05 15:40:29,FALSE,"750349203948404736","750353664682889217","214101580","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@ConStar24 Sorry your package is missing, definitely not our intention. Keep us posted on the outcome of the call. We're here for you. ^KC",FALSE,1,"ConStar24",2016-07-05 15:38:29,FALSE,"750348720428969984","750353160800272384","109449668","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@mattr0den Be sure to let us know how Kitty reacts! Pictures are always more than welcome. <ed><U+00A0><U+00BD><ed><U+00B8><U+0084> ^KC",FALSE,0,"mattr0den",2016-07-05 15:34:34,FALSE,"750346806530150401","750352177185587200","1408246904","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@abikolliari I'm sorry to hear this! What info has our support provided? How were the tickets delivered: https://t.co/3OgE6IWtny? ^LP",FALSE,0,"abikolliari",2016-07-05 15:34:00,FALSE,"750348905762660352","750352035325833216","449948755","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@shah_prats1489 Please get on touch with us via phone or chat here:  https://t.co/hApLpMlfHN so we can look into this for you. ^DR",FALSE,0,"shah_prats1489",2016-07-05 15:32:34,FALSE,"750348130466627584","750351671990087680","1064913457","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@heidicullinan Keep us posted with how the call goes, we want to make sure you're helped out. ^JW",FALSE,1,"heidicullinan",2016-07-05 15:31:28,FALSE,"750349643532292098","750351396201955328","16787108","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@FreezeMarie You'd need to wait until the Account Specialists can review your information. They respond in 24-48 hours to your e-mail. ^RM",FALSE,0,"FreezeMarie",2016-07-05 15:30:04,FALSE,"750347533881409536","750351043322605568","1638894907","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@DebsBM I'm sorry for the frustration this has caused.  I've passed your feedback to our Customer Experience team. Please keep us posted.^LP",FALSE,0,"DebsBM",2016-07-05 15:29:51,FALSE,"750347861062197249","750350988888899584","180071441","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@djnrrd I completely understand any frustration with the delivery. Was anything inside of the package damaged or missing? ^LI",FALSE,0,"djnrrd",2016-07-05 15:28:35,FALSE,"750346706345222145","750350669454901248","46646278","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@egtobias We're unable to access your account or information via Twitter. You can reach back out to us here: https://t.co/hApLpMlfHN. ^RM",FALSE,0,"egtobias",2016-07-05 15:27:32,FALSE,"750347108465668096","750350407617146880","15246664","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@innsidetrack We can reach out to them. Contact us when you have a moment here: https://t.co/JzP7hlA23B. ^RM",FALSE,0,"innsidetrack",2016-07-05 15:25:31,FALSE,"750346259962204160","750349898898432001","1247429875","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@thinksouthpaw I'm sorry about the packaging! If you haven't yet, you can leave packaging feedback here: https://t.co/0yJwaJBT73. ^ME",FALSE,0,"thinksouthpaw",2016-07-05 15:24:34,FALSE,"750344124264570880","750349659474886661","4871841106","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
